iter	Passed	Remaining
0	1	188
1	3	174
2	5	166
3	6	153
4	8	157
5	10	157
6	11	154
7	13	151
8	14	150
9	16	147
10	17	144
11	19	142
12	20	140
13	22	139
14	24	137
15	25	134
16	27	132
17	28	130
18	30	128
19	31	127
20	33	124
21	34	123
22	36	122
23	37	120
24	39	118
25	41	117
26	42	115
27	44	114
28	46	112
29	47	111
30	49	109
31	51	108
32	52	106
33	53	104
34	55	103
35	57	101
36	58	99
37	60	97
38	61	96
39	63	94
40	64	92
41	64	89
42	65	87
43	67	85
44	68	83
45	69	81
46	71	80
47	72	78
48	73	76
49	74	74
50	76	73
51	77	71
52	78	69
53	79	68
54	80	66
55	81	64
56	82	62
57	83	60
58	85	59
59	86	57
60	87	56
61	89	54
62	90	53
63	91	51
64	93	50
65	94	48
66	96	47
67	97	45
68	98	44
69	99	42
70	100	41
71	102	39
72	103	38
73	104	36
74	105	35
75	106	33
76	108	32
77	109	30
78	110	29
79	111	27
80	112	26
81	113	25
82	115	23
83	116	22
84	117	20
85	118	19
86	119	17
87	121	16
88	122	15
89	123	13
90	124	12
91	126	10
92	127	9
93	128	8
94	129	6
95	130	5
96	131	4
97	133	2
98	134	1
99	135	0
